type,entry_time,exit_time,entry_price,exit_price,pnl_pips,pnl_usd,exit_reason
short,2025-12-10 00:55:00+00:00,2025-12-10 04:30:00+00:00,208.46599243164061,208.41900634765625,2.7,2.7,Signal (ST Flip / EMA Cross)
long,2025-12-10 04:30:00+00:00,2025-12-10 10:40:00+00:00,208.43900634765626,208.64199829101562,18.3,18.3,Signal (ST Flip / EMA Cross)
short,2025-12-10 13:00:00+00:00,2025-12-10 13:55:00+00:00,208.56599853515624,208.6820068359375,-13.6,-13.6,Signal (ST Flip / EMA Cross)
short,2025-12-10 22:05:00+00:00,2025-12-10 23:00:00+00:00,208.51300476074218,208.76100158691406,-26.8,-26.8,Signal (ST Flip / EMA Cross)
short,2025-12-10 23:15:00+00:00,2025-12-11 04:55:00+00:00,208.60600708007811,208.34190063476564,26.4,26.41,Stop Loss
long,2025-12-11 04:55:00+00:00,2025-12-11 08:30:00+00:00,208.35700561523439,208.41700744628906,4.0,4.0,Signal (ST Flip / EMA Cross)
long,2025-12-11 10:30:00+00:00,2025-12-11 12:20:00+00:00,208.4730029296875,208.42300415039062,-7.0,-7.0,Signal (ST Flip / EMA Cross)
long,2025-12-11 15:55:00+00:00,2025-12-11 19:50:00+00:00,208.47399475097657,208.3179931640625,-17.6,-17.6,Signal (ST Flip / EMA Cross)
short,2025-12-11 21:50:00+00:00,2025-12-11 23:35:00+00:00,208.28400085449218,208.3489990234375,-8.5,-8.5,Signal (ST Flip / EMA Cross)
short,2025-12-12 07:00:00+00:00,2025-12-12 08:55:00+00:00,208.24800537109374,208.47799682617188,-25.0,-25.0,Signal (ST Flip / EMA Cross)
long,2025-12-12 12:35:00+00:00,2025-12-12 13:50:00+00:00,208.59000732421876,208.5189971923828,-9.1,-9.1,Signal (ST Flip / EMA Cross)
short,2025-12-12 14:10:00+00:00,2025-12-12 17:35:00+00:00,208.55000732421874,208.31399536132812,21.6,21.6,Signal (ST Flip / EMA Cross)
long,2025-12-12 17:40:00+00:00,2025-12-12 18:55:00+00:00,208.31299926757814,208.13800048828125,-19.5,-19.5,Signal (ST Flip / EMA Cross)
long,2025-12-12 19:35:00+00:00,2025-12-12 21:35:00+00:00,208.29200317382814,208.25799560546875,-5.4,-5.4,Signal (ST Flip / EMA Cross)
long,2025-12-15 00:00:00+00:00,2025-12-15 01:00:00+00:00,208.40499450683595,208.26300048828125,-16.2,-16.2,Signal (ST Flip / EMA Cross)
short,2025-12-15 01:05:00+00:00,2025-12-15 07:00:00+00:00,208.21199462890624,207.41819152832034,79.4,79.38,Stop Loss
long,2025-12-15 07:10:00+00:00,2025-12-15 09:15:00+00:00,207.40299560546876,207.36599731445312,-5.7,-5.7,Signal (ST Flip / EMA Cross)
